line_num,id,sentence,speaker,topic
0,0,我刚刚开始record,1,persona
3,3,我非常希望能够通过这个机会去跟你make friends,1,persona
5,5,我们平时能够遇见其他stranger的机会其实不是很多,1,persona
10,10,我不太确定你家是不是也是来自一个similar city,1,persona
13,13,我的hobby是读书,1,persona
15,15,and我也很喜欢outdoor那些运动,1,persona
38,38,i like武侠小小说超级喜欢,2,persona
47,47,我也很喜欢reading books,1,persona
52,52,because其实金庸他相对来说比较old,1,persona
98,98,because i was already被这本书吸引,2,persona
107,107,usually I want to read some books before期末考试,2,persona
109,109,快要期末考试了他可能觉得非常stress非常nervous,2,persona
110,110,他想要找一些东西来relax,2,persona
119,119,我只是比较的curious about it,1,persona
130,130,虽然这听起来很非常的没意思totally impossible,2,persona
170,170,这电影真的非常的appealing,1,persona
174,174,我觉得很sweet,1,persona
180,180,I also really like the 女主,1,persona
221,221,就已经先规划好他的teaching plan,21,education
222,222,他要delivery什么东西,21,education
223,223,他就已经制定出他的一个schedule,21,education
253,253,因为实际上如果你不想做research,1,education
254,254,因为国内其实很多university它有那种跟企业的合作,1,education
263,263,这个实际上对research是不利的,1,education
266,266,如果你真的有那种research pursuit,1,education
280,280,你没有发很多paper就让你毕业,1,education
286,286,其实我几个月前有考虑过要不要读phd,21,education
287,287,然后我就跟career center的老师聊过,21,education
289,289,直接ma申phd其实难度会比较大,21,education
293,293,而且就是感觉phd真的比较适合就是对research很有passion的人,21,education
296,296,就是可能我读phd只是为了去得到这个degree,21,education
298,298,所以就感觉可能并没有太适合读phd,21,education
299,299,而且就很担心读一个degree出来要四五年,21,education
308,308,他的supervision实际上是很有限的,1,education
309,309,主要是你自己的self motivation一定要强,1,education
315,315,可能会下午discuss一下,1,education
324,324,就是no one assign you to do something,1,education
343,343,这个学期我们就是三节课然后再加一个research project,21,education
344,344,然后就最近一直在做research project,21,education
345,345,有大概有feel到一点那种感觉,21,education
346,346,你要找到一个合适的topic去写,21,education
349,349,所以感觉是真的要很academic的人才能够hold住,21,education
362,362,我的lecturer就跟我讲说,1,education
364,364,他是学了linguistic的,1,education
381,381,你要把一个很虚的concept变成一个很实的一个paper,21,education
392,392,computer science整体上节奏比较快,1,education
398,398,你也可以感受到你真的在follow他的一些trade,1,education
427,427,我还以为你们会有一个特殊的那种learning commerce,21,education
434,434,就是那种study environment特别好,1,education
435,435,我很喜欢这里的library,21,education
458,458,然后如果是一群的话那就so noisy,21,education
464,464,昨晚凌晨两点的时候就是我们take photos,21,education
466,466,就感觉可能是真的是final到了,21,education
467,467,那你们什么时候final结束啊,1,education
