original,transformed,llama_preference,original_word_nll,original_token_nll,original_perplexity,transformed_word_nll,transformed_token_nll,transformed_perplexity,original_number_of_code_switch,transformed_number_of_code_switch
我刚刚开始record,i am just started记录,2.0,"[('我', 10.125), ('刚刚', 6.29296875), ('开始', 6.96875), ('record', 9.75)]","[('<|begin_of_text|>', 13.5625), ('我', 10.125), ('刚', 0.76171875), ('刚', 5.53125), ('开始', 6.96875), ('record', 9.75)]",729.451416015625,"[('i', 19.125), ('am', 8.0625), ('just', 8.75), ('started', 8.3125), ('记录', 6.8125)]","[('<|begin_of_text|>', 13.5625), ('i', 19.125), (' am', 8.0625), (' just', 8.75), (' started', 8.3125), ('记录', 6.8125)]",11741.6015625,0,3
我刚刚开始record,i am just started记录,2.0,"[('我', 10.125), ('刚刚', 6.29296875), ('开始', 6.96875), ('record', 9.75)]","[('<|begin_of_text|>', 13.5625), ('我', 10.125), ('刚', 0.76171875), ('刚', 5.53125), ('开始', 6.96875), ('record', 9.75)]",729.451416015625,"[('i', 19.125), ('am', 8.0625), ('just', 8.75), ('started', 8.3125), ('记录', 6.8125)]","[('<|begin_of_text|>', 13.5625), ('i', 19.125), (' am', 8.0625), (' just', 8.75), (' started', 8.3125), ('记录', 6.8125)]",11741.6015625,0,3
我刚刚开始record,i am刚刚started记录,,"[('我', 10.125), ('刚刚', 6.29296875), ('开始', 6.96875), ('record', 9.75)]","[('<|begin_of_text|>', 13.5625), ('我', 10.125), ('刚', 0.76171875), ('刚', 5.53125), ('开始', 6.96875), ('record', 9.75)]",729.451416015625,"[('i', 19.125), ('am', 8.0625), ('刚刚', 5.34375), ('started', 9.5), ('记录', 7.625)]","[('<|begin_of_text|>', 13.5625), ('i', 19.125), (' am', 8.0625), ('刚', 0.65625), ('刚', 4.6875), ('started', 9.5), ('记录', 7.625)]",11694.185546875,0,1
我刚刚开始record,我just started记录,2.0,"[('我', 10.125), ('刚刚', 6.29296875), ('开始', 6.96875), ('record', 9.75)]","[('<|begin_of_text|>', 13.5625), ('我', 10.125), ('刚', 0.76171875), ('刚', 5.53125), ('开始', 6.96875), ('record', 9.75)]",729.451416015625,"[('我', 10.125), ('just', 8.875), ('started', 8.25), ('记录', 8.0625)]","[('<|begin_of_text|>', 13.5625), ('我', 10.125), ('just', 8.875), (' started', 8.25), ('记录', 8.0625)]",19267.806640625,0,0
我刚刚开始record,i am just开始记录,2.0,"[('我', 10.125), ('刚刚', 6.29296875), ('开始', 6.96875), ('record', 9.75)]","[('<|begin_of_text|>', 13.5625), ('我', 10.125), ('刚', 0.76171875), ('刚', 5.53125), ('开始', 6.96875), ('record', 9.75)]",729.451416015625,"[('i', 19.125), ('am', 8.0625), ('just', 8.75), ('开始', 6.875), ('记录', 6.84375)]","[('<|begin_of_text|>', 13.5625), ('i', 19.125), (' am', 8.0625), (' just', 8.75), ('开始', 6.875), ('记录', 6.84375)]",10152.0263671875,0,2
我非常希望能够通过这个机会去跟你make friends,i am非常希望possible通过这个机会去and你做朋友们,2.0,"[('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('去', 7.375), ('跟', 6.1875), ('你', 7.9375), ('make', 10.125), ('friends', 10.125)]","[('<|begin_of_text|>', 13.625), ('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('去', 7.375), ('跟', 6.1875), ('你', 7.9375), ('make', 10.125), (' friends', 10.125)]",186.52801513671875,"[('i', 19.125), ('am', 8.0625), ('非常', 4.3125), ('希望', 7.3125), ('possible', 9.125), ('通过', 7.4375), ('这个', 7.625), ('机会', 5.5625), ('去', 6.6875), ('and', 7.28125), ('你', 7.1875), ('做', 6.34375), ('朋友们', 12.3125)]","[('<|begin_of_text|>', 13.625), ('i', 19.125), (' am', 8.0625), ('非常', 4.3125), ('希望', 7.3125), ('possible', 9.125), ('通过', 7.4375), ('这个', 7.625), ('机会', 5.5625), ('去', 6.6875), ('and', 7.28125), ('你', 7.1875), ('做', 6.34375), ('朋友', 6.59375), ('们', 5.71875)]",1185.1558837890625,1,1
我非常希望能够通过这个机会去跟你make friends,我非常希望能够通过this is机会去and你做朋友们,2.0,"[('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('去', 7.375), ('跟', 6.1875), ('你', 7.9375), ('make', 10.125), ('friends', 10.125)]","[('<|begin_of_text|>', 13.625), ('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('去', 7.375), ('跟', 6.1875), ('你', 7.9375), ('make', 10.125), (' friends', 10.125)]",186.52801513671875,"[('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('this', 10.125), ('is', 8.625), ('机会', 6.09375), ('去', 6.75), ('and', 8.1875), ('你', 6.9375), ('做', 5.28125), ('朋友们', 12.84375)]","[('<|begin_of_text|>', 13.625), ('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('this', 10.125), (' is', 8.625), ('机会', 6.09375), ('去', 6.75), ('and', 8.1875), ('你', 6.9375), ('做', 5.28125), ('朋友', 6.9375), ('们', 5.90625)]",1285.3505859375,1,0
我非常希望能够通过这个机会去跟你make friends,我非常hope能够through这个机会去跟你做朋友们,2.0,"[('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('去', 7.375), ('跟', 6.1875), ('你', 7.9375), ('make', 10.125), ('friends', 10.125)]","[('<|begin_of_text|>', 13.625), ('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('去', 7.375), ('跟', 6.1875), ('你', 7.9375), ('make', 10.125), (' friends', 10.125)]",186.52801513671875,"[('我', 10.125), ('非常', 5.125), ('hope', 9.25), ('能够', 5.5), ('through', 8.0), ('这个', 7.78125), ('机会', 5.9375), ('去', 6.75), ('跟', 6.0), ('你', 8.8125), ('做', 6.1875), ('朋友们', 14.8125)]","[('<|begin_of_text|>', 13.625), ('我', 10.125), ('非常', 5.125), ('hope', 9.25), ('能够', 5.5), ('through', 8.0), ('这个', 7.78125), ('机会', 5.9375), ('去', 6.75), ('跟', 6.0), ('你', 8.8125), ('做', 6.1875), ('朋友', 8.0625), ('们', 6.75)]",638.7274780273438,1,0
我非常希望能够通过这个机会去跟你make friends,我非常希望能够通过this is机会去跟you做朋友们,2.0,"[('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('去', 7.375), ('跟', 6.1875), ('你', 7.9375), ('make', 10.125), ('friends', 10.125)]","[('<|begin_of_text|>', 13.625), ('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('去', 7.375), ('跟', 6.1875), ('你', 7.9375), ('make', 10.125), (' friends', 10.125)]",186.52801513671875,"[('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('this', 10.125), ('is', 8.625), ('机会', 6.09375), ('去', 6.75), ('跟', 6.375), ('you', 9.8125), ('做', 6.125), ('朋友们', 12.625)]","[('<|begin_of_text|>', 13.625), ('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('this', 10.125), (' is', 8.625), ('机会', 6.09375), ('去', 6.75), ('跟', 6.375), ('you', 9.8125), ('做', 6.125), ('朋友', 7.03125), ('们', 5.59375)]",907.9576416015625,1,0
我非常希望能够通过这个机会去跟你make friends,我非常hope能够通过这个机会去跟you做朋友们,1.0,"[('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('去', 7.375), ('跟', 6.1875), ('你', 7.9375), ('make', 10.125), ('friends', 10.125)]","[('<|begin_of_text|>', 13.625), ('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('去', 7.375), ('跟', 6.1875), ('你', 7.9375), ('make', 10.125), (' friends', 10.125)]",186.52801513671875,"[('我', 10.125), ('非常', 5.125), ('hope', 9.25), ('能够', 5.5), ('通过', 7.375), ('这个', 8.5), ('机会', 5.9375), ('去', 7.0), ('跟', 6.375), ('you', 11.75), ('做', 6.40625), ('朋友们', 14.8125)]","[('<|begin_of_text|>', 13.625), ('我', 10.125), ('非常', 5.125), ('hope', 9.25), ('能够', 5.5), ('通过', 7.375), ('这个', 8.5), ('机会', 5.9375), ('去', 7.0), ('跟', 6.375), ('you', 11.75), ('做', 6.40625), ('朋友', 8.3125), ('们', 6.5)]",409.6498107910156,1,0
