original,transformed,llama_preference,original_word_nll,original_token_nll,original_perplexity,transformed_word_nll,transformed_token_nll,transformed_perplexity
我刚刚开始record,我just started记录,2.0,"[('我', 10.125), ('刚刚', 6.29296875), ('开始', 6.96875), ('record', 9.75)]","[('<|begin_of_text|>', 13.5625), ('我', 10.125), ('刚', 0.76171875), ('刚', 5.53125), ('开始', 6.96875), ('record', 9.75)]",729.451416015625,"[('我', 10.125), ('just', 8.875), ('started', 8.25), ('记录', 8.0625)]","[('<|begin_of_text|>', 13.5625), ('我', 10.125), ('just', 8.875), (' started', 8.25), ('记录', 8.0625)]",19267.806640625
我刚刚开始record,我just started记录,2.0,"[('我', 10.125), ('刚刚', 6.29296875), ('开始', 6.96875), ('record', 9.75)]","[('<|begin_of_text|>', 13.5625), ('我', 10.125), ('刚', 0.76171875), ('刚', 5.53125), ('开始', 6.96875), ('record', 9.75)]",729.451416015625,"[('我', 10.125), ('just', 8.875), ('started', 8.25), ('记录', 8.0625)]","[('<|begin_of_text|>', 13.5625), ('我', 10.125), ('just', 8.875), (' started', 8.25), ('记录', 8.0625)]",19267.806640625
我刚刚开始record,i am just started记录,,"[('我', 10.125), ('刚刚', 6.29296875), ('开始', 6.96875), ('record', 9.75)]","[('<|begin_of_text|>', 13.5625), ('我', 10.125), ('刚', 0.76171875), ('刚', 5.53125), ('开始', 6.96875), ('record', 9.75)]",729.451416015625,"[('i', 19.125), ('am', 8.0625), ('just', 8.75), ('started', 8.3125), ('记录', 6.8125)]","[('<|begin_of_text|>', 13.5625), ('i', 19.125), (' am', 8.0625), (' just', 8.75), (' started', 8.3125), ('记录', 6.8125)]",11741.6015625
我刚刚开始record,i am just开始记录,1.0,"[('我', 10.125), ('刚刚', 6.29296875), ('开始', 6.96875), ('record', 9.75)]","[('<|begin_of_text|>', 13.5625), ('我', 10.125), ('刚', 0.76171875), ('刚', 5.53125), ('开始', 6.96875), ('record', 9.75)]",729.451416015625,"[('i', 19.125), ('am', 8.0625), ('just', 8.75), ('开始', 6.875), ('记录', 6.84375)]","[('<|begin_of_text|>', 13.5625), ('i', 19.125), (' am', 8.0625), (' just', 8.75), ('开始', 6.875), ('记录', 6.84375)]",10152.0263671875
我刚刚开始record,i am just started记录,2.0,"[('我', 10.125), ('刚刚', 6.29296875), ('开始', 6.96875), ('record', 9.75)]","[('<|begin_of_text|>', 13.5625), ('我', 10.125), ('刚', 0.76171875), ('刚', 5.53125), ('开始', 6.96875), ('record', 9.75)]",729.451416015625,"[('i', 19.125), ('am', 8.0625), ('just', 8.75), ('started', 8.3125), ('记录', 6.8125)]","[('<|begin_of_text|>', 13.5625), ('i', 19.125), (' am', 8.0625), (' just', 8.75), (' started', 8.3125), ('记录', 6.8125)]",11741.6015625
我非常希望能够通过这个机会去跟你make friends,我very希望能够通过这个机会go to and你做朋友们,,"[('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('去', 7.375), ('跟', 6.1875), ('你', 7.9375), ('make', 10.125), ('friends', 10.125)]","[('<|begin_of_text|>', 13.625), ('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('去', 7.375), ('跟', 6.1875), ('你', 7.9375), ('make', 10.125), (' friends', 10.125)]",186.52801513671875,"[('我', 10.125), ('very', 6.65625), ('希望', 7.375), ('能够', 5.75), ('通过', 8.0625), ('这个', 8.9375), ('机会', 6.5625), ('go', 12.9375), ('to', 6.96875), ('and', 7.3125), ('你', 7.3125), ('做', 6.46875), ('朋友们', 13.21875)]","[('<|begin_of_text|>', 13.625), ('我', 10.125), ('very', 6.65625), ('希望', 7.375), ('能够', 5.75), ('通过', 8.0625), ('这个', 8.9375), ('机会', 6.5625), ('go', 12.9375), (' to', 6.96875), (' and', 7.3125), ('你', 7.3125), ('做', 6.46875), ('朋友', 7.125), ('们', 6.09375)]",885.6046142578125
我非常希望能够通过这个机会去跟你make friends,我非常希望possible通过this is机会去and你做朋友们,,"[('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('去', 7.375), ('跟', 6.1875), ('你', 7.9375), ('make', 10.125), ('friends', 10.125)]","[('<|begin_of_text|>', 13.625), ('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('去', 7.375), ('跟', 6.1875), ('你', 7.9375), ('make', 10.125), (' friends', 10.125)]",186.52801513671875,"[('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('possible', 9.125), ('通过', 7.875), ('this', 8.75), ('is', 8.625), ('机会', 6.3125), ('去', 5.78125), ('and', 8.0), ('你', 7.0), ('做', 4.8125), ('朋友们', 12.8125)]","[('<|begin_of_text|>', 13.625), ('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('possible', 9.125), ('通过', 7.875), ('this', 8.75), (' is', 8.625), ('机会', 6.3125), ('去', 5.78125), ('and', 8.0), ('你', 7.0), ('做', 4.8125), ('朋友', 6.6875), ('们', 6.125)]",2012.4815673828125
我非常希望能够通过这个机会去跟你make friends,我非常希望能够通过这个机会go to跟你做朋友们,2.0,"[('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('去', 7.375), ('跟', 6.1875), ('你', 7.9375), ('make', 10.125), ('friends', 10.125)]","[('<|begin_of_text|>', 13.625), ('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('去', 7.375), ('跟', 6.1875), ('你', 7.9375), ('make', 10.125), (' friends', 10.125)]",186.52801513671875,"[('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('go', 12.875), ('to', 6.875), ('跟', 6.21875), ('你', 7.6875), ('做', 6.71875), ('朋友们', 14.375)]","[('<|begin_of_text|>', 13.625), ('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('go', 12.875), (' to', 6.875), ('跟', 6.21875), ('你', 7.6875), ('做', 6.71875), ('朋友', 7.5625), ('们', 6.8125)]",275.0494689941406
我非常希望能够通过这个机会去跟你make friends,我very hope能够通过this is机会去跟你做朋友们,2.0,"[('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('去', 7.375), ('跟', 6.1875), ('你', 7.9375), ('make', 10.125), ('friends', 10.125)]","[('<|begin_of_text|>', 13.625), ('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('去', 7.375), ('跟', 6.1875), ('你', 7.9375), ('make', 10.125), (' friends', 10.125)]",186.52801513671875,"[('我', 10.125), ('very', 6.65625), ('hope', 9.4375), ('能够', 5.5625), ('通过', 7.59375), ('this', 9.3125), ('is', 8.75), ('机会', 6.1875), ('去', 6.8125), ('跟', 7.4375), ('你', 6.0), ('做', 6.15625), ('朋友们', 13.6875)]","[('<|begin_of_text|>', 13.625), ('我', 10.125), ('very', 6.65625), (' hope', 9.4375), ('能够', 5.5625), ('通过', 7.59375), ('this', 9.3125), (' is', 8.75), ('机会', 6.1875), ('去', 6.8125), ('跟', 7.4375), ('你', 6.0), ('做', 6.15625), ('朋友', 8.0), ('们', 5.6875)]",1734.6971435546875
我非常希望能够通过这个机会去跟你make friends,我非常希望能够通过这个机会go to跟you做朋友们,2.0,"[('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('去', 7.375), ('跟', 6.1875), ('你', 7.9375), ('make', 10.125), ('friends', 10.125)]","[('<|begin_of_text|>', 13.625), ('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('去', 7.375), ('跟', 6.1875), ('你', 7.9375), ('make', 10.125), (' friends', 10.125)]",186.52801513671875,"[('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('go', 12.875), ('to', 6.875), ('跟', 6.21875), ('you', 11.0), ('做', 6.5625), ('朋友们', 14.0)]","[('<|begin_of_text|>', 13.625), ('我', 10.125), ('非常', 5.125), ('希望', 8.25), ('能够', 6.75), ('通过', 8.375), ('这个', 9.25), ('机会', 6.3125), ('go', 12.875), (' to', 6.875), ('跟', 6.21875), ('you', 11.0), ('做', 6.5625), ('朋友', 7.5), ('们', 6.5)]",372.1105041503906
